hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
86071370920894,1,1.0,3,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,28,,1,43,1,1.0,1,1,1,7,2,57,303,303,1,0,0,,1.0,,40.0,,50.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,13111.8305,3071.9473,0,0,,,21,0,44090,1,,,,2.0,,,3132.8705,6970.0,840.0,-1,,,,,3.0,1.0,11143.0,2013,636,633,0,0,0,0,0,16.0,2.0,32.0,2013,2.0,3,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,1,29,,1,43,1,1.0,1,1,7,2,57,303,303,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1700.0,680.0,2.0,2.0,2.0,,,11890.5375,2997.7171,0,0,0.0,0.0,0,0,50256,1,,,,2.0,,,3003.644,4870.0,5240.0,-1,,,,,3.0,1.0,10892.0,2014,648,633,0,0,0,0,0,16.0,17.0,22.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
86071370920894,1,1.0,3,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,6,63,2.0,2,34,1,1.0,3,2,1,1,2,303,303,303,4,0,22,,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9917.6322,2524.253,0,0,,,0,0,44090,3,,,,,,,2525.6412,,,-1,,,,,,,11144.0,2013,636,633,0,0,0,0,0,7.5,,,2013,2.0,3,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,6,64,2.0,2,34,1,1.0,2,1,1,2,303,303,303,4,0,22,2.0,5.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,8688.4182,2176.747,0,0,,,0,0,50256,3,,,,,,,2183.4915,7580.0,9620.0,-1,,,,,,,10893.0,2014,648,633,0,0,0,0,0,7.5,22.0,38.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
86071370920894,1,1.0,3,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,6,70,3.0,1,34,1,1.0,2,2,2,1,2,303,303,303,4,0,22,,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13040.9699,3360.1716,0,0,,,0,0,44090,2,,,,,,,3331.5867,,,-1,,,,,,,11145.0,2013,636,633,0,0,0,0,0,7.5,,,2013,2.0,3,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,6,71,3.0,1,34,1,1.0,2,2,1,2,303,303,303,4,0,22,1.0,5.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,15182.9514,3784.5924,0,0,,,0,0,50256,2,,,,,,,3816.2809,1180.0,7810.0,-1,,,,,,,10894.0,2014,648,633,0,0,0,0,0,7.5,21.0,14.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
86071370920894,1,1.0,3,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,7,30,,2,43,1,1.0,5,1,4,7,2,303,303,303,4,0,19,,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1326.0,2.0,2.0,2.0,,,12152.39,2967.1068,0,0,1.0,,21,41,44090,5,,,,2.0,,,3015.1702,7180.0,530.0,-1,,,,,3.0,1.0,11146.0,2013,636,633,0,0,0,0,0,16.0,2.0,35.0,2013,2.0,3,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,7,31,,2,43,1,1.0,1,4,7,2,303,303,303,4,0,19,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,1153.84,2.0,2.0,2.0,,,10615.8667,2744.562,0,0,0.0,,0,0,50256,5,,,,2.0,,,2737.7507,4870.0,4700.0,-1,,,,,3.0,1.0,10895.0,2014,648,633,0,0,0,0,0,16.0,16.0,22.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
86071370920894,1,1.0,3,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,7,31,,2,43,1,1.0,4,1,4,7,2,303,303,303,4,0,19,,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1326.0,2.0,2.0,2.0,,,12152.39,2967.1068,0,0,1.0,,21,41,44090,4,,,,2.0,,,3015.1702,7180.0,530.0,-1,,,,,3.0,1.0,11147.0,2013,636,633,0,0,0,0,0,16.0,2.0,35.0,2013,2.0,3,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,7,32,,2,43,1,1.0,1,4,7,2,303,303,303,4,0,19,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,961.53,2.0,2.0,2.0,,,10615.8667,2744.562,0,0,0.0,,0,0,50256,4,,,,2.0,,,2737.7507,6990.0,800.0,-1,,,,,3.0,1.0,10896.0,2014,648,633,0,0,0,0,0,16.0,2.0,33.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
193913609033770,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,69,2.0,1,40,2,,1,1,1,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,8668.258,2282.8977,0,0,,,0,0,65894,1,,,3.0,,,,2306.4631,,,-1,,,,,,,11156.0,2013,636,633,0,0,0,0,0,14.0,,,2013,1.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,1,71,2.0,1,40,2,,1,1,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9266.4105,2303.9929,0,0,,,0,0,33057,1,,,3.0,,,,2294.9054,,,-1,,,,,,,10910.0,2014,648,633,0,0,0,0,0,14.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
193913609033770,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,74,1.0,2,39,2,,2,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10898.9577,2591.2164,0,0,,,0,0,65894,2,1.0,,,,,,2563.9044,,,-1,,,,,,,11157.0,2013,636,633,0,0,0,0,0,12.0,,,2013,1.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,3,75,1.0,2,39,2,,1,2,1,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9862.9311,2433.1072,0,0,,,0,0,33057,2,1.0,,,,,,2474.7011,,,-1,,,,,,,10911.0,2014,648,633,0,0,0,0,0,12.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
197963709050761,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,1,43,4,,1,1,1,1,2,231,231,231,4,0,17,1.0,1.0,,50.0,,50.0,,,,,,2.0,6.0,0.0,2,,,,,,,,2.0,,,12422.3406,2906.2764,1,2,,,0,0,9579,1,,,,2.0,,,2968.1275,6190.0,9140.0,-1,,,,,,,11176.0,2013,636,633,1,0,0,0,1,16.0,22.0,23.0,2013,1.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,1,42,2.0,1,43,4,,1,1,1,2,231,231,231,4,0,17,1.0,1.0,,48.0,,48.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,11738.3701,2802.4331,1,2,,,0,0,33058,1,,,,2.0,,,2836.4712,6190.0,9140.0,-1,,,,,,,10923.0,2014,648,633,1,0,0,0,1,16.0,22.0,23.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
197963709050761,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,36,1.0,2,44,4,,2,1,2,1,2,231,231,231,5,0,22,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,12524.5798,3023.3934,1,2,,,0,0,9579,2,,,,,,2.0,3126.1322,,,-1,,,,,,,11177.0,2013,636,633,1,0,0,0,1,18.0,,,2013,1.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,3,37,1.0,2,44,4,,1,2,1,2,231,231,231,5,0,22,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10889.8324,2714.0707,1,2,,,0,0,33058,2,,,,,,2.0,2710.608,,,-1,,,,,,,10924.0,2014,648,633,1,0,0,0,1,18.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
198943305064788,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,74,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,40.0,,,,,,9.0,7.0,0.0,2,,,,,,,,,,,12147.7158,2906.051,0,0,,,0,0,22996,1,,,,2.0,,,2902.5101,8560.0,2750.0,-1,,,,,,,11180.0,2013,636,633,0,0,0,0,0,16.0,9.0,44.0,2013,2.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,1,76,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,40.0,,,,,,9.0,7.0,0.0,2,,,,,,,,,,,13189.5303,3231.2185,0,0,,,0,0,21079,1,,,,2.0,,,3187.1309,8560.0,2750.0,-1,,,,,,,10927.0,2014,648,633,0,0,0,0,0,16.0,9.0,44.0,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,1,recruitment
198943305064788,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,64,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11144.4802,2855.8384,0,0,,,0,0,22996,2,,,1.0,,,,2838.0724,,,-1,,,,,,,11181.0,2013,636,633,0,0,0,0,0,12.0,,,2013,2.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,3,65,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,2.0,,,,1.0,,,2,,,,,,,,,,,10816.3397,2716.6622,0,0,,,0,0,21079,2,,,1.0,,,,2718.2607,,,-1,,,,,,,10928.0,2014,648,633,0,0,0,0,0,12.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
271381033808399,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,75,2.0,1,39,2,,1,1,1,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,8668.258,2282.8977,0,0,,,0,0,22985,1,1.0,,,,,,2306.4631,,,-1,,,,,,,11194.0,2013,636,633,0,0,0,0,0,12.0,,,2013,2.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,1,76,2.0,1,39,2,,1,1,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9266.4105,2303.9929,0,0,,,0,0,33054,1,1.0,,,,,,2294.9054,,,-1,,,,,,,10933.0,2014,648,633,0,0,0,0,0,12.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
271381033808399,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,73,1.0,2,40,2,,2,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10898.9577,2591.2164,0,0,,,0,0,22985,2,,,4.0,,,,2563.9044,,,-1,,,,,,,11195.0,2013,636,633,0,0,0,0,0,15.0,,,2013,2.0,1,8,2,9100,91001,1,33.0,16980,0,1.0,1.0,1.0,7,3,75,1.0,2,40,2,,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9862.9311,2433.1072,0,0,,,0,0,33054,2,,,3.0,,,,2474.7011,,,-1,,,,,,,10934.0,2014,648,633,0,0,0,0,0,14.0,,,2014,MIS4_to_MIS8,illinois,1,2013-2014,0,0,0,recruitment
