hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
177193559700698,1,1.0,7,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,56,,2,40,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,3.0,,,,,1.0,,,1.0,1.0,11.0,6.0,0.0,2,,,,,,,,,,,11540.8078,2614.6325,0,0,,,0,0,68133,1,,,3.0,,,,2538.7669,7470.0,2630.0,-1,,,,,,,10908.0,2014,648,645,0,0,0,0,0,14.0,9.0,36.0,2014,1.0,7,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,57,,2,40,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,40.0,,,,,,9.0,7.0,0.0,2,,,,,,,,,,,11647.7856,2880.8614,0,0,,,0,0,3781,1,,,2.0,,,,2907.4573,7490.0,2910.0,2200,,,,,,,11672.0,2015,660,645,0,0,0,0,0,13.0,9.0,36.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
193917609033771,1,2.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,40,2.0,2,42,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,423.0,2.0,2.0,2.0,,,10841.3752,2723.3196,3,2,1.0,,0,0,21155,1,,,3.0,,,,2710.2503,6070.0,9050.0,-1,,,,,,,10912.0,2014,648,645,0,0,1,0,0,14.0,22.0,23.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,42,2.0,2,42,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,12.0,,16.0,,,22.0,,,7.0,4.0,0.0,1,2.0,1.0,1.0,765.0,769.23,1.0,,2.0,,,11995.2229,2893.6555,3,2,0.0,1.0,0,0,28485,1,,,3.0,,,,2922.4615,6070.0,9050.0,-1,,,,,,,11682.0,2015,660,645,0,0,1,0,0,14.0,22.0,23.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
193917609033771,1,2.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,3,50,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,6.0,0.0,2,,,,,,,,2.0,,,14046.9865,3400.2385,3,2,,,0,0,21155,2,,,,2.0,,,3394.3275,770.0,6230.0,-1,,,,,,,10913.0,2014,648,645,0,0,1,0,0,16.0,19.0,4.0,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,3,51,1.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,44.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,13377.522,3388.1747,3,2,,,0,0,28485,2,,,,,,,3394.7966,770.0,220.0,-1,,,,,,,11683.0,2015,660,645,0,0,1,0,0,,1.0,4.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
193977404073728,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,41,,1,40,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,450.0,2.0,2.0,2.0,,,10003.5315,2520.7353,0,0,1.0,,0,0,50293,1,,,4.0,,,,2514.308,7070.0,410.0,-1,,,,,,,10916.0,2014,648,645,0,0,0,0,0,15.0,1.0,34.0,2014,1.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,42,,1,40,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,800.0,2.0,2.0,2.0,,,10394.7249,2567.434,0,0,1.0,,0,42,6521,1,,,3.0,,,,2601.5423,7070.0,4710.0,-1,,,,,,,11686.0,2015,660,645,0,0,0,0,0,14.0,16.0,34.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
197837805088786,1,1.0,4,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,34,,2,37,2,,1,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,7.0,,,,1.0,,,2,,,,,,,,2.0,,,11670.1729,2740.3259,8,3,,,0,0,50287,1,,,,,,,2778.3764,,,-1,,,,,,,10918.0,2014,648,645,0,1,1,0,1,11.0,,,2014,1.0,4,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,35,,2,37,2,,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,13192.7988,3518.1755,3,3,,,0,0,30825,1,,,,,,,3484.7009,,,-1,,,,,,,11696.0,2015,660,645,0,0,1,0,0,11.0,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
267679770099105,1,1.0,7,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,25,,2,43,2,,1,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1000.0,2.0,2.0,2.0,,,12150.5089,3128.3294,0,0,0.0,,0,0,21156,1,,,,1.0,2.0,,3207.5191,6970.0,710.0,-1,,,,,,,10932.0,2014,648,645,0,0,0,0,0,17.0,2.0,32.0,2014,1.0,7,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,27,,2,43,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,22738.8496,5846.2707,0,0,,,0,0,18376,1,,,,,,,5860.4633,7390.0,710.0,-1,,,,,,,11722.0,2015,660,645,0,0,0,0,0,,2.0,36.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
287048870069107,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,2,76,,1,43,1,,1,0,0,5,2,57,128,105,1,0,0,1.0,1.0,,10.0,,15.0,,,21.0,,,7.0,4.0,0.0,1,2.0,1.0,1.0,725.0,375.0,2.0,2.0,,,,13058.2237,3231.2185,0,0,1.0,1.0,0,0,57802,1,,,,2.0,,,3187.1309,8370.0,2340.0,2320,,,,,,,10940.0,2014,648,645,0,0,0,0,0,16.0,8.0,43.0,2014,2.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,,7,2,77,,1,43,1,,0,0,5,2,57,128,105,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12200.4732,3053.1285,0,0,,,0,0,39504,1,,,,,,,3078.8392,,,-1,,,,,,,11734.0,2015,660,645,0,0,0,0,0,,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
287048870069107,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,14,61,,2,39,1,,2,0,0,5,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11919.392,3008.0485,0,0,,,0,0,57802,2,1.0,,,,,,2995.4694,,,-1,,,,,,,10941.0,2014,648,645,0,0,0,0,0,12.0,,,2014,2.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,,7,14,62,,2,39,1,,0,0,5,2,57,57,57,1,0,0,,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12233.7764,3004.0312,0,0,,,0,0,39504,2,1.0,,,,,,3064.8758,,,-1,,,,,,,11735.0,2015,660,645,0,0,0,0,0,12.0,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
307902741897437,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,61,,1,38,1,3.0,1,0,0,7,2,327,327,327,4,0,4,1.0,1.0,,15.0,,15.0,,,19.0,,,7.0,4.0,0.0,1,2.0,,1.0,877.0,131.55,1.0,,,,,14187.8947,3737.6158,0,0,0.0,0.0,0,0,50294,1,,,,,,,3679.564,4970.0,9640.0,-1,,,,,,,10950.0,2014,648,645,0,0,0,0,0,12.0,22.0,22.0,2014,1.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,61,,1,38,1,3.0,0,0,7,2,327,327,327,4,0,4,1.0,1.0,,25.0,,30.0,,,19.0,,,7.0,4.0,0.0,1,1.0,,1.0,855.0,299.25,1.0,,,,,15635.6802,3919.9383,0,0,0.0,0.0,0,0,66250,1,,,,,,,3950.508,4970.0,9640.0,-1,,,,,,,11737.0,2015,660,645,0,0,0,0,0,12.0,22.0,22.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
307907191193637,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,1,37,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1923.0,2.0,2.0,2.0,,,12052.1685,3015.6316,8,2,1.0,,0,0,42927,1,,,,2.0,,,3029.2166,770.0,1360.0,-1,,,,,,,10951.0,2014,648,645,0,1,1,0,1,16.0,4.0,4.0,2014,1.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,1,38,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1153.0,1.0,,2.0,,,11837.3366,2952.2058,3,2,1.0,,0,0,18375,1,,,,,,,2962.5922,770.0,430.0,-1,,,,,,,11738.0,2015,660,645,0,0,1,0,0,,1.0,4.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
307907191193637,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,3,40,1.0,2,40,1,1.0,2,1,2,1,2,303,303,303,4,0,12,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10218.2591,2539.6017,8,2,,,0,0,42927,2,,,2.0,,,,2543.4455,,,-1,,,,,,,10952.0,2014,648,645,0,1,1,0,1,13.0,,,2014,1.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,3,41,1.0,2,40,1,1.0,1,2,1,2,303,303,303,4,0,11,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10851.9751,2803.2842,3,2,,,0,0,18375,2,,,2.0,,,,2774.3435,,,-1,,,,,,,11739.0,2015,660,645,0,0,1,0,0,13.0,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
307908321091397,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,37,,1,43,1,1.0,1,0,0,7,2,57,73,303,1,0,0,1.0,1.0,,8.0,,8.0,,,20.0,,,7.0,4.0,0.0,1,2.0,,1.0,1771.0,141.68,2.0,2.0,1.0,1.0,2.0,11865.2955,2954.1033,0,0,0.0,0.0,0,0,62321,1,,,,1.0,2.0,,2982.2476,8090.0,3649.0,-1,,,,,,,10955.0,2014,648,645,0,0,0,0,0,17.0,11.0,42.0,2014,2.0,6,8,2,9200,92001,1,16980,0,1.0,1.0,1.0,7,2,38,,1,43,1,1.0,0,0,7,2,57,73,303,1,0,0,2.0,1.0,,32.0,,32.0,,,20.0,,,7.0,4.0,0.0,1,2.0,,1.0,1200.0,384.0,2.0,2.0,1.0,2.0,2.0,12622.1722,3122.5409,0,0,1.0,1.0,0,42,57479,1,,,,,,,3159.0172,8180.0,3649.0,-1,,,,,,,11742.0,2015,660,645,0,0,0,0,0,,11.0,42.0,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,1,recruitment
307908321871397,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,1,31,2.0,2,33,1,1.0,1,1,1,1,2,303,303,303,5,0,16,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11173.5043,2744.562,6,4,,,0,0,8183,1,,,,,,,2781.2173,,,-1,,,,,,,10956.0,2014,648,645,1,0,1,0,1,5.5,,,2014,2.0,1,8,2,9200,92001,1,16980,0,1.0,1.0,,7,1,32,2.0,2,33,1,1.0,1,1,1,2,303,303,303,5,0,16,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,13139.2923,3237.9221,6,4,,,0,0,49022,1,,,,,,,3359.1038,,,-1,,,,,,,11743.0,2015,660,645,1,0,1,0,1,5.5,,,2015,MIS4_to_MIS8,illinois,1,2014-2015,0,0,0,recruitment
